Date,Mentions,Engagements
2016-03-01,803,421
2016-03-02,800,323
2016-03-03,774,451
2016-03-04,1490,746
2016-03-05,1841,1055
2016-03-06,1051,527
2016-03-07,1170,596
2016-03-08,1100,678
2016-03-09,876,536
2016-03-10,783,511
2016-03-11,751,1869
2016-03-12,642,933
2016-03-13,665,697
2016-03-14,895,682
2016-03-15,997,1166
2016-03-16,875,775
2016-03-17,802,1087
2016-03-18,801,575
2016-03-19,663,502
2016-03-20,787,731
2016-03-21,1139,628
2016-03-22,1177,883
2016-03-23,1014,519
2016-03-24,909,437
2016-03-25,838,395
2016-03-26,796,420
2016-03-27,953,604
2016-03-28,955,391
2016-03-29,1051,558
2016-03-30,856,438
2016-03-31,900,380
2016-04-01,899,373
2016-04-02,729,334
2016-04-03,739,514
2016-04-04,959,1474
2016-04-05,988,512
2016-04-06,928,676
2016-04-07,1191,445
2016-04-08,1135,950
2016-04-09,878,1689
2016-04-10,796,1200
2016-04-11,858,485
2016-04-12,906,374
2016-04-13,881,327
2016-04-14,797,480
2016-04-15,827,341
2016-04-16,675,343
2016-04-17,724,354
2016-04-18,1081,1215
2016-04-19,983,1016
2016-04-20,809,436
2016-04-21,921,341
2016-04-22,911,406
2016-04-23,682,436
2016-04-24,661,368
2016-04-25,1167,576
2016-04-26,1095,820
2016-04-27,1224,1087
2016-04-28,1190,1484
2016-04-29,1138,687
2016-04-30,799,1215
2016-05-01,808,1019
2016-05-02,1210,1001
2016-05-03,1157,572
2016-05-04,1152,506
2016-05-05,1135,556
2016-05-06,1190,564
2016-05-07,780,346
2016-05-08,830,298
2016-05-09,1395,794
2016-05-10,1316,3343
2016-05-11,1057,997
2016-05-12,1000,667
2016-05-13,960,558
2016-05-14,913,538
2016-05-15,948,432
2016-05-16,1063,718
2016-05-17,971,587
2016-05-18,1027,475
2016-05-19,1199,713
2016-05-20,923,547
2016-05-21,767,496
2016-05-22,812,321
2016-05-23,2250,4249
2016-05-24,1488,5348
2016-05-25,1097,6862
2016-05-26,1107,2865
2016-05-27,823,1571
2016-05-28,754,1031
2016-05-29,941,3382
2016-05-30,813,5348
2016-05-31,1568,1638
2016-06-01,980,1185
2016-06-02,1045,814
2016-06-03,1068,1538
2016-06-04,1010,859
2016-06-05,851,957
2016-06-06,1037,1149
2016-06-07,970,1316
2016-06-08,982,802
2016-06-09,1122,801
2016-06-10,1054,779
2016-06-11,778,977
2016-06-12,778,755
2016-06-13,976,1341
2016-06-14,1075,1919
2016-06-15,987,1706
2016-06-16,1018,846
2016-06-17,877,521
2016-06-18,771,498
2016-06-19,758,560
2016-06-20,877,805
2016-06-21,1119,1031
2016-06-22,986,735
2016-06-23,892,2263
2016-06-24,939,755
2016-06-25,695,664
2016-06-26,892,588
2016-06-27,1093,622
2016-06-28,1059,721
2016-06-29,965,625
2016-06-30,867,428
2016-07-01,954,296
2016-07-02,746,557
2016-07-03,721,632
2016-07-04,742,507
2016-07-05,809,422
2016-07-06,855,388
2016-07-07,799,449
2016-07-08,811,1065
2016-07-09,741,1462
2016-07-10,795,936
2016-07-11,916,555
2016-07-12,863,476
2016-07-13,897,729
2016-07-14,978,911
2016-07-15,962,805
2016-07-16,900,420
2016-07-17,865,595
2016-07-18,860,889
2016-07-19,876,389
2016-07-20,1069,770
2016-07-21,948,430
2016-07-22,1007,402
2016-07-23,761,388
2016-07-24,833,745
2016-07-25,881,511
2016-07-26,877,428
2016-07-27,863,342
2016-07-28,932,430
2016-07-29,891,333
2016-07-30,804,476
2016-07-31,760,396
2016-08-01,861,408
2016-08-02,1033,1079
2016-08-03,1026,823
2016-08-04,1318,1354
2016-08-05,1182,570
2016-08-06,997,853
2016-08-07,901,772
2016-08-08,917,353
2016-08-09,894,446
2016-08-10,926,360
2016-08-11,985,794
2016-08-12,1059,648
2016-08-13,871,720
2016-08-14,1123,721
2016-08-15,1246,612
2016-08-16,1150,1043
2016-08-17,1167,1028
2016-08-18,1154,914
2016-08-19,892,884
2016-08-20,897,1746
2016-08-21,862,1093
2016-08-22,1018,717
2016-08-23,789,469
