Date,Mentions,Engagements
2016-09-01,871,279
2016-09-02,741,102
2016-09-03,1036,121
2016-09-04,767,154
2016-09-05,707,184
2016-09-06,679,297
2016-09-07,1042,432
2016-09-08,2184,1019
2016-09-09,1701,1182
2016-09-10,1445,523
2016-09-11,1264,562
2016-09-12,1839,683
2016-09-13,1905,803
2016-09-14,1738,1339
2016-09-15,2664,1256
2016-09-16,2128,981
2016-09-17,1428,602
2016-09-18,1590,1611
2016-09-19,2026,1230
2016-09-20,2364,1861
2016-09-21,5366,7000
2016-09-22,3660,3954
2016-09-23,2019,2070
2016-09-24,1578,1186
2016-09-25,1122,656
2016-09-26,1809,1314
2016-09-27,1842,906
2016-09-28,1113,646
2016-09-29,1144,550
2016-09-30,938,525
2016-10-01,663,471
2016-10-02,3716,3213
2016-10-03,5616,5181
2016-10-04,4887,4214
2016-10-05,3716,3261
2016-10-06,1785,1602
2016-10-07,843,687
2016-10-08,878,760
2016-10-09,853,853
2016-10-10,1071,939
2016-10-11,881,1003
2016-10-12,686,597
2016-10-13,626,1058
2016-10-14,752,513
2016-10-15,825,760
2016-10-16,848,581
2016-10-17,807,930
2016-10-18,742,466
2016-10-19,884,382
2016-10-20,737,326
2016-10-21,746,263
2016-10-22,965,605
2016-10-23,1074,245
2016-10-24,699,416
2016-10-25,869,659
2016-10-26,889,442
2016-10-27,1010,383
2016-10-28,933,403
2016-10-29,1095,264
2016-10-30,1198,309
2016-10-31,1123,374
2016-11-01,1169,519
2016-11-02,1015,360
2016-11-03,1048,380
2016-11-04,1209,317
2016-11-05,930,263
2016-11-06,1021,431
2016-11-07,1049,521
2016-11-08,1327,514
2016-11-09,953,608
2016-11-10,1058,499
2016-11-11,1085,522
2016-11-12,1250,311
2016-11-13,1345,425
2016-11-14,1899,1950
2016-11-15,2236,2104
2016-11-16,2090,1548
2016-11-17,2114,1473
2016-11-18,2378,2038
2016-11-19,918,722
2016-11-20,1213,636
2016-11-21,1014,746
2016-11-22,810,396
2016-11-23,965,410
2016-11-24,1498,446
2016-11-25,1272,353
2016-11-26,930,344
2016-11-27,798,467
2016-11-28,1114,405
2016-11-29,1554,963
2016-11-30,1413,816
2016-12-01,1009,490
2016-12-02,1077,370
2016-12-03,915,243
2016-12-04,1102,193
2016-12-05,988,496
2016-12-06,910,294
2016-12-07,1250,285
2016-12-08,898,254
2016-12-09,657,291
2016-12-10,394,179
2016-12-11,796,368
2016-12-12,741,526
2016-12-13,620,793
2016-12-14,520,489
2016-12-15,1398,1365
2016-12-16,1217,808
2016-12-17,757,535
2016-12-18,433,395
2016-12-19,709,601
2016-12-20,870,701
2016-12-21,618,289
2016-12-22,494,416
2016-12-23,620,203
2016-12-24,505,91
2016-12-25,257,74
2016-12-26,286,81
2016-12-27,398,180
2016-12-28,436,245
2016-12-29,472,183
2016-12-30,551,427
2016-12-31,334,274
2017-01-01,187,99
2017-01-02,462,178
2017-01-03,432,385
2017-01-04,646,413
2017-01-05,435,464
2017-01-06,793,539
2017-01-07,1257,739
2017-01-08,869,268
2017-01-09,593,467
2017-01-10,638,215
2017-01-11,741,319
2017-01-12,835,552
2017-01-13,1033,319
2017-01-14,801,203
2017-01-15,549,163
2017-01-16,542,252
2017-01-17,843,336
2017-01-18,790,353
2017-01-19,669,276
2017-01-20,577,369
2017-01-21,854,640
2017-01-22,739,361
2017-01-23,703,517
2017-01-24,881,788
2017-01-25,698,687
2017-01-26,520,921
2017-01-27,531,533
2017-01-28,357,326
2017-01-29,272,202
2017-01-30,549,1033
2017-01-31,821,884
2017-02-01,623,652
2017-02-02,389,406
2017-02-03,692,513
2017-02-04,515,566
2017-02-05,290,212
2017-02-06,565,790
2017-02-07,614,681
2017-02-08,1267,799
2017-02-09,1019,990
2017-02-10,585,1227
2017-02-11,367,228
2017-02-12,652,291
2017-02-13,527,544
2017-02-14,435,513
2017-02-15,457,341
2017-02-16,421,266
2017-02-17,591,366
2017-02-18,318,229
2017-02-19,328,150
2017-02-20,476,280
2017-02-21,713,490
2017-02-22,1075,618
2017-02-23,549,491
2017-02-24,832,549
2017-02-25,1095,390
2017-02-26,479,230
2017-02-27,921,582
2017-02-28,906,575
2017-03-01,573,607
2017-03-02,783,768
2017-03-03,778,1562
2017-03-04,293,3114
2017-03-05,265,403
2017-03-06,610,1668
2017-03-07,666,1203
2017-03-08,584,771
2017-03-09,491,689
2017-03-10,401,548
2017-03-11,269,266
2017-03-12,721,237
2017-03-13,499,358
2017-03-14,661,486
2017-03-15,420,546
2017-03-16,519,772
2017-03-17,643,961
2017-03-18,978,636
2017-03-19,386,601
2017-03-20,135,100
