Date,Mentions,Engagements
2016-03-01,7777,1263
2016-03-02,8719,1262
2016-03-03,8187,1822
2016-03-04,7647,1490
2016-03-05,7288,1754
2016-03-06,7509,1528
2016-03-07,8989,2908
2016-03-08,8222,1795
2016-03-09,7523,2002
2016-03-10,8845,1972
2016-03-11,7497,2211
2016-03-12,7698,2191
2016-03-13,8029,1938
2016-03-14,9276,2546
2016-03-15,9220,1871
2016-03-16,6179,1887
2016-03-17,2027,1299
2016-03-18,221,110
2016-03-19,207,128
2016-03-20,195,93
2016-03-21,252,105
2016-03-22,260,88
2016-03-23,242,117
2016-03-24,228,106
2016-03-25,225,143
2016-03-26,198,102
2016-03-27,267,84
2016-03-28,228,88
2016-03-29,224,107
2016-03-30,287,98
2016-03-31,239,117
2016-04-01,229,91
2016-04-02,210,71
2016-04-03,203,103
2016-04-04,254,106
2016-04-05,253,92
2016-04-06,212,76
2016-04-07,266,68
2016-04-08,258,83
2016-04-09,228,96
2016-04-10,248,69
2016-04-11,287,111
2016-04-12,139,35
2016-04-13,176,59
2016-04-14,239,69
2016-04-15,252,85
2016-04-16,243,71
2016-04-17,173,64
2016-04-18,264,79
2016-04-19,262,94
2016-04-20,251,135
2016-04-21,229,87
2016-04-22,218,90
2016-04-23,1496,1393
2016-04-24,687,276
2016-04-25,378,190
2016-04-26,389,144
2016-04-27,611,177
2016-04-28,718,83
2016-04-29,316,143
2016-04-30,201,67
2016-05-01,192,79
2016-05-02,239,105
2016-05-03,224,107
2016-05-04,266,108
2016-05-05,285,104
2016-05-06,226,65
2016-05-07,170,82
2016-05-08,182,66
2016-05-09,221,107
2016-05-10,224,149
2016-05-11,173,62
2016-05-12,241,109
2016-05-13,219,62
2016-05-14,200,74
2016-05-15,210,112
2016-05-16,219,117
2016-05-17,228,73
2016-05-18,239,92
2016-05-19,231,113
2016-05-20,212,112
2016-05-21,187,91
2016-05-22,195,76
2016-05-23,222,74
2016-05-24,242,104
2016-05-25,250,101
2016-05-26,254,129
2016-05-27,199,92
2016-05-28,422,539
2016-05-29,185,96
2016-05-30,213,137
2016-05-31,196,88
2016-06-01,217,117
2016-06-02,235,112
2016-06-03,254,104
2016-06-04,231,77
2016-06-05,206,92
2016-06-06,284,58
2016-06-07,246,85
2016-06-08,231,65
2016-06-09,212,76
2016-06-10,234,102
2016-06-11,164,83
2016-06-12,199,79
2016-06-13,257,108
2016-06-14,227,80
2016-06-15,250,82
2016-06-16,212,64
2016-06-17,202,60
2016-06-18,156,83
2016-06-19,142,70
2016-06-20,311,79
2016-06-21,221,92
2016-06-22,252,83
2016-06-23,250,71
2016-06-24,200,70
2016-06-25,172,62
2016-06-26,160,97
2016-06-27,176,66
2016-06-28,207,64
2016-06-29,222,78
2016-06-30,222,79
2016-07-01,187,77
2016-07-02,158,56
2016-07-03,171,59
2016-07-04,206,58
2016-07-05,246,59
2016-07-06,245,53
2016-07-07,234,54
2016-07-08,296,69
2016-07-09,357,70
2016-07-10,144,43
2016-07-11,231,188
2016-07-12,220,75
2016-07-13,252,44
2016-07-14,233,55
2016-07-15,207,72
2016-07-16,182,57
2016-07-17,182,69
2016-07-18,214,84
2016-07-19,223,64
2016-07-20,233,58
2016-07-21,179,67
2016-07-22,200,60
2016-07-23,167,51
2016-07-24,178,83
2016-07-25,226,91
2016-07-26,336,91
2016-07-27,251,59
2016-07-28,241,44
2016-07-29,187,47
2016-07-30,186,40
2016-07-31,181,51
2016-08-01,235,61
2016-08-02,198,53
2016-08-03,374,52
2016-08-04,288,72
2016-08-05,337,42
2016-08-06,303,66
2016-08-07,279,38
2016-08-08,312,48
2016-08-09,238,74
2016-08-10,349,86
2016-08-11,303,53
2016-08-12,245,45
2016-08-13,169,58
2016-08-14,183,52
2016-08-15,244,43
2016-08-16,232,52
2016-08-17,223,62
2016-08-18,205,72
2016-08-19,224,45
2016-08-20,192,51
2016-08-21,158,65
2016-08-22,233,69
2016-08-23,232,76
2016-08-24,232,80
2016-08-25,207,61
2016-08-26,192,59
2016-08-27,184,47
2016-08-28,204,76
2016-08-29,204,63
2016-08-30,229,72
2016-08-31,203,70
2016-09-01,216,124
2016-09-02,173,57
2016-09-03,187,53
2016-09-04,201,45
2016-09-05,195,81
2016-09-06,151,42
2016-09-07,215,89
2016-09-08,176,45
2016-09-09,159,50
2016-09-10,158,53
2016-09-11,172,45
2016-09-12,163,47
2016-09-13,203,70
2016-09-14,171,48
2016-09-15,181,39
2016-09-16,176,80
2016-09-17,193,51
2016-09-18,186,57
2016-09-19,200,67
2016-09-20,184,34
2016-09-21,178,45
2016-09-22,183,52
2016-09-23,174,35
2016-09-24,151,27
2016-09-25,173,44
2016-09-26,166,50
2016-09-27,178,32
2016-09-28,137,30
2016-09-29,155,37
2016-09-30,123,30
2016-10-01,144,43
2016-10-02,147,37
2016-10-03,129,28
2016-10-04,152,41
2016-10-05,196,46
2016-10-06,153,26
2016-10-07,54,15
2016-10-08,86,56
2016-10-09,71,39
2016-10-10,90,42
2016-10-11,102,61
2016-10-12,109,48
2016-10-13,121,51
2016-10-14,108,122
2016-10-15,121,39
2016-10-16,158,34
2016-10-17,117,67
2016-10-18,103,43
2016-10-19,149,44
2016-10-20,136,60
2016-10-21,83,88
2016-10-22,83,56
2016-10-23,97,44
2016-10-24,109,38
2016-10-25,129,54
2016-10-26,146,28
2016-10-27,227,60
2016-10-28,236,58
2016-10-29,163,41
2016-10-30,132,39
2016-10-31,122,42
2016-11-01,141,34
2016-11-02,179,56
2016-11-03,168,64
2016-11-04,153,57
2016-11-05,130,32
2016-11-06,132,75
2016-11-07,173,50
2016-11-08,142,35
2016-11-09,153,37
2016-11-10,146,36
2016-11-11,162,42
2016-11-12,156,34
2016-11-13,131,59
2016-11-14,145,33
2016-11-15,159,73
2016-11-16,163,55
2016-11-17,153,43
2016-11-18,95,50
2016-11-19,126,54
2016-11-20,129,53
2016-11-21,121,46
2016-11-22,112,71
2016-11-23,109,63
2016-11-24,127,27
2016-11-25,120,49
2016-11-26,138,66
2016-11-27,110,34
2016-11-28,128,52
2016-11-29,152,139
2016-11-30,163,105
2016-12-01,130,86
2016-12-02,128,64
2016-12-03,100,46
2016-12-04,136,54
2016-12-05,115,34
2016-12-06,137,68
2016-12-07,180,45
2016-12-08,122,39
2016-12-09,108,43
2016-12-10,81,51
2016-12-11,93,66
2016-12-12,111,57
2016-12-13,103,44
2016-12-14,106,72
2016-12-15,112,51
2016-12-16,90,37
2016-12-17,90,47
2016-12-18,91,36
2016-12-19,113,435
2016-12-20,133,125
2016-12-21,100,69
2016-12-22,111,71
2016-12-23,88,40
2016-12-24,80,55
2016-12-25,55,35
2016-12-26,121,50
2016-12-27,96,57
2016-12-28,110,50
2016-12-29,119,74
2016-12-30,121,66
2016-12-31,144,77
2017-01-01,122,38
2017-01-02,170,101
