Date,Mentions,Engagements
2016-03-01,3817,1683
2016-03-02,3769,680
2016-03-03,2860,735
2016-03-04,3027,718
2016-03-05,3706,1456
2016-03-06,2818,1798
2016-03-07,2242,1220
2016-03-08,5410,1031
2016-03-09,3526,881
2016-03-10,2580,645
2016-03-11,1879,507
2016-03-12,1783,578
2016-03-13,1961,798
2016-03-14,2472,769
2016-03-15,2344,1058
2016-03-16,1454,487
2016-03-17,431,748
2016-03-18,102,44
2016-03-19,71,35
2016-03-20,68,23
2016-03-21,84,49
2016-03-22,81,51
2016-03-23,80,47
2016-03-24,106,35
2016-03-25,78,36
2016-03-26,56,27
2016-03-27,85,18
2016-03-28,65,29
2016-03-29,62,47
2016-03-30,135,60
2016-03-31,73,42
2016-04-01,74,19
2016-04-02,72,23
2016-04-03,47,24
2016-04-04,91,32
2016-04-05,75,15
2016-04-06,117,60
2016-04-07,135,90
2016-04-08,95,60
2016-04-09,84,34
2016-04-10,74,61
2016-04-11,189,36
2016-04-12,50,16
2016-04-13,56,24
2016-04-14,62,32
2016-04-15,77,39
2016-04-16,66,28
2016-04-17,50,16
2016-04-18,126,41
2016-04-19,112,50
2016-04-20,88,46
2016-04-21,84,37
2016-04-22,137,55
2016-04-23,62,31
2016-04-24,61,22
2016-04-25,220,131
2016-04-26,172,195
2016-04-27,200,135
2016-04-28,253,302
2016-04-29,206,139
2016-04-30,125,55
2016-05-01,86,51
2016-05-02,121,35
2016-05-03,111,57
2016-05-04,100,39
2016-05-05,169,46
2016-05-06,138,38
2016-05-07,70,28
2016-05-08,75,19
2016-05-09,456,106
2016-05-10,256,96
2016-05-11,68,41
2016-05-12,121,63
2016-05-13,85,70
2016-05-14,173,55
2016-05-15,180,35
2016-05-16,275,67
2016-05-17,104,66
2016-05-18,88,41
2016-05-19,124,59
2016-05-20,134,58
2016-05-21,64,42
2016-05-22,46,23
2016-05-23,777,376
2016-05-24,308,127
2016-05-25,146,90
2016-05-26,175,78
2016-05-27,127,49
2016-05-28,63,33
2016-05-29,60,32
2016-05-30,50,21
2016-05-31,226,53
2016-06-01,114,45
2016-06-02,140,58
2016-06-03,144,80
2016-06-04,107,42
2016-06-05,80,19
2016-06-06,98,61
2016-06-07,83,43
2016-06-08,110,34
2016-06-09,162,66
2016-06-10,109,71
2016-06-11,71,36
2016-06-12,78,111
2016-06-13,93,82
2016-06-14,102,71
2016-06-15,233,84
2016-06-16,66,41
2016-06-17,54,45
2016-06-18,61,49
2016-06-19,60,54
2016-06-20,120,235
2016-06-21,141,152
2016-06-22,108,75
2016-06-23,111,74
2016-06-24,57,51
2016-06-25,45,30
2016-06-26,64,29
2016-06-27,112,51
2016-06-28,124,53
2016-06-29,196,82
2016-06-30,97,49
2016-07-01,83,37
2016-07-02,56,23
2016-07-03,57,12
2016-07-04,72,22
2016-07-05,84,14
2016-07-06,108,29
2016-07-07,88,162
2016-07-08,107,247
2016-07-09,77,127
2016-07-10,71,59
2016-07-11,74,76
2016-07-12,88,26
2016-07-13,53,13
2016-07-14,66,51
2016-07-15,63,21
2016-07-16,66,26
2016-07-17,109,21
2016-07-18,85,61
2016-07-19,103,38
2016-07-20,174,58
2016-07-21,155,64
2016-07-22,140,58
2016-07-23,64,20
2016-07-24,63,23
2016-07-25,150,54
2016-07-26,72,56
2016-07-27,80,42
2016-07-28,85,44
2016-07-29,100,45
2016-07-30,89,24
2016-07-31,96,43
2016-08-01,148,44
2016-08-02,147,41
2016-08-03,98,22
2016-08-04,85,22
2016-08-05,133,30
2016-08-06,72,26
2016-08-07,103,23
2016-08-08,74,26
2016-08-09,86,19
2016-08-10,83,23
2016-08-11,96,34
2016-08-12,130,69
2016-08-13,62,26
2016-08-14,83,20
2016-08-15,89,75
2016-08-16,89,37
2016-08-17,171,66
2016-08-18,136,63
2016-08-19,78,48
2016-08-20,60,10
2016-08-21,60,15
2016-08-22,85,42
2016-08-23,91,31
2016-08-24,99,27
2016-08-25,99,53
2016-08-26,187,14
2016-08-27,59,33
2016-08-28,55,34
2016-08-29,75,29
2016-08-30,66,103
2016-08-31,108,36
2016-09-01,53,37
2016-09-02,87,34
2016-09-03,245,53
2016-09-04,99,21
2016-09-05,202,34
2016-09-06,75,15
2016-09-07,91,26
2016-09-08,76,25
2016-09-09,71,26
2016-09-10,66,28
2016-09-11,80,28
2016-09-12,67,29
2016-09-13,84,47
2016-09-14,68,23
2016-09-15,91,28
2016-09-16,89,38
2016-09-17,103,25
2016-09-18,48,24
2016-09-19,89,83
2016-09-20,240,59
2016-09-21,206,119
2016-09-22,109,43
2016-09-23,90,35
2016-09-24,220,62
2016-09-25,71,35
2016-09-26,102,26
2016-09-27,82,26
2016-09-28,164,26
2016-09-29,99,42
2016-09-30,118,52
2016-10-01,97,64
2016-10-02,53,37
2016-10-03,72,32
2016-10-04,83,39
2016-10-05,85,21
2016-10-06,84,30
2016-10-07,78,26
2016-10-08,68,23
2016-10-09,34,6
2016-10-10,74,21
2016-10-11,135,25
2016-10-12,111,42
2016-10-13,179,53
2016-10-14,95,79
2016-10-15,113,77
2016-10-16,56,26
2016-10-17,84,55
2016-10-18,64,42
2016-10-19,61,25
2016-10-20,87,42
2016-10-21,68,38
2016-10-22,66,53
2016-10-23,60,20
2016-10-24,89,30
2016-10-25,75,32
2016-10-26,94,41
2016-10-27,102,43
2016-10-28,95,46
2016-10-29,73,40
2016-10-30,54,37
2016-10-31,110,52
2016-11-01,128,34
2016-11-02,89,38
2016-11-03,90,35
2016-11-04,107,49
2016-11-05,66,26
2016-11-06,67,18
2016-11-07,73,54
2016-11-08,134,107
2016-11-09,77,54
2016-11-10,66,35
2016-11-11,78,41
2016-11-12,63,57
2016-11-13,85,43
2016-11-14,56,16
2016-11-15,71,32
2016-11-16,99,54
2016-11-17,108,35
2016-11-18,93,39
2016-11-19,89,27
2016-11-20,61,64
2016-11-21,89,26
2016-11-22,110,29
2016-11-23,83,26
2016-11-24,114,64
2016-11-25,72,32
2016-11-26,66,25
2016-11-27,70,33
2016-11-28,111,47
2016-11-29,94,34
2016-11-30,182,48
2016-12-01,103,46
2016-12-02,119,21
2016-12-03,78,17
2016-12-04,78,32
2016-12-05,114,33
2016-12-06,112,38
2016-12-07,93,48
2016-12-08,99,153
2016-12-09,83,54
2016-12-10,52,16
2016-12-11,78,18
2016-12-12,57,17
2016-12-13,92,36
2016-12-14,97,50
2016-12-15,175,63
2016-12-16,150,90
2016-12-17,81,72
2016-12-18,76,42
2016-12-19,84,63
2016-12-20,65,40
2016-12-21,73,20
2016-12-22,99,21
2016-12-23,73,17
2016-12-24,49,9
2016-12-25,43,35
2016-12-26,45,10
2016-12-27,67,20
2016-12-28,87,18
2016-12-29,104,18
2016-12-30,115,22
2016-12-31,68,16
2017-01-01,54,6
2017-01-02,70,41
2017-01-03,99,22
2017-01-04,90,22
2017-01-05,185,105
2017-01-06,182,100
2017-01-07,159,46
2017-01-08,97,49
2017-01-09,102,52
