Date,Mentions,Engagements
2016-03-01,304,71
2016-03-02,267,71
2016-03-03,381,75
2016-03-04,462,59
2016-03-05,244,37
2016-03-06,203,30
2016-03-07,371,43
2016-03-08,291,55
2016-03-09,510,51
2016-03-10,549,36
2016-03-11,455,127
2016-03-12,274,33
2016-03-13,235,40
2016-03-14,242,46
2016-03-15,633,34
2016-03-16,412,214
2016-03-17,330,57
2016-03-18,323,98
2016-03-19,324,149
2016-03-20,233,80
2016-03-21,215,67
2016-03-22,498,67
2016-03-23,525,45
2016-03-24,274,58
2016-03-25,293,68
2016-03-26,197,28
2016-03-27,226,67
2016-03-28,205,57
2016-03-29,302,37
2016-03-30,830,115
2016-03-31,607,86
2016-04-01,600,110
2016-04-02,294,62
2016-04-03,216,72
2016-04-04,227,106
2016-04-05,157,54
2016-04-06,54,27
2016-04-07,36,23
2016-04-08,46,15
2016-04-09,30,23
2016-04-10,34,4
2016-04-11,94,13
2016-04-12,33,3
2016-04-13,26,4
2016-04-14,54,13
2016-04-15,58,11
2016-04-16,39,9
2016-04-17,25,9
2016-04-18,51,7
2016-04-19,42,12
2016-04-20,38,17
2016-04-21,47,19
2016-04-22,36,17
2016-04-23,31,3
2016-04-24,28,6
2016-04-25,36,10
2016-04-26,56,4
2016-04-27,99,7
2016-04-28,47,7
2016-04-29,36,8
2016-04-30,25,21
2016-05-01,25,14
2016-05-02,33,11
2016-05-03,55,24
2016-05-04,45,3
2016-05-05,32,8
2016-05-06,50,7
2016-05-07,28,11
2016-05-08,23,4
2016-05-09,48,9
2016-05-10,49,15
2016-05-11,58,3
2016-05-12,47,23
2016-05-13,34,5
2016-05-14,41,13
2016-05-15,27,7
2016-05-16,34,8
2016-05-17,37,12
2016-05-18,49,10
2016-05-19,49,7
2016-05-20,47,4
2016-05-21,26,4
2016-05-22,17,9
2016-05-23,36,10
2016-05-24,55,8
2016-05-25,84,11
2016-05-26,44,16
2016-05-27,44,15
2016-05-28,35,13
2016-05-29,22,7
2016-05-30,27,11
2016-05-31,50,6
2016-06-01,46,18
2016-06-02,45,4
2016-06-03,50,7
2016-06-04,52,2
2016-06-05,34,4
2016-06-06,50,3
2016-06-07,218,32
2016-06-08,57,13
2016-06-09,64,11
2016-06-10,60,8
2016-06-11,42,3
2016-06-12,25,21
2016-06-13,97,3
2016-06-14,39,6
2016-06-15,32,5
2016-06-16,43,4
2016-06-17,41,6
2016-06-18,53,6
2016-06-19,193,4
2016-06-20,41,17
2016-06-21,47,8
2016-06-22,58,10
2016-06-23,47,4
2016-06-24,88,18
2016-06-25,42,8
2016-06-26,20,3
2016-06-27,38,9
2016-06-28,29,9
2016-06-29,36,5
2016-06-30,35,5
2016-07-01,50,2
2016-07-02,31,1
2016-07-03,39,12
2016-07-04,30,5
2016-07-05,39,13
2016-07-06,37,7
2016-07-07,89,4
2016-07-08,87,11
2016-07-09,169,40
2016-07-10,20,14
2016-07-11,53,15
2016-07-12,49,24
2016-07-13,35,11
2016-07-14,42,10
2016-07-15,51,14
2016-07-16,35,6
2016-07-17,33,4
2016-07-18,48,18
2016-07-19,28,10
2016-07-20,30,29
2016-07-21,46,29
2016-07-22,60,15
2016-07-23,28,16
2016-07-24,43,9
2016-07-25,71,7
2016-07-26,69,13
2016-07-27,73,19
2016-07-28,48,16
2016-07-29,59,13
2016-07-30,53,59
2016-07-31,24,12
2016-08-01,39,21
2016-08-02,20,13
2016-08-03,10,8
2016-08-04,9,8
2016-08-05,14,7
2016-08-06,4,11
2016-08-07,6,6
2016-08-08,9,10
2016-08-09,22,43
2016-08-10,2,37
2016-08-11,16,15
2016-08-12,13,6
2016-08-13,9,11
2016-08-14,4,7
2016-08-15,2,1
2016-08-16,7,2
2016-08-17,7,6
2016-08-18,9,3
2016-08-19,10,6
2016-08-20,9,7
2016-08-21,9,10
2016-08-22,6,19
2016-08-23,5,9
2016-08-24,8,2
2016-08-25,108,82
2016-08-26,26,29
2016-08-27,11,4
2016-08-28,3,1
2016-08-29,14,8
2016-08-30,14,16
2016-08-31,4,3
2016-09-01,7,5
2016-09-02,4,1
2016-09-03,1,0
2016-09-04,3,2
2016-09-05,5,3
2016-09-06,2,0
2016-09-07,1,0
2016-09-08,5,3
2016-09-09,7,6
2016-09-10,4,1
2016-09-11,3,2
2016-09-12,7,3
2016-09-13,20,17
2016-09-14,5,8
2016-09-15,6,0
2016-09-16,8,3
2016-09-17,2,15
2016-09-18,1,1
2016-09-19,5,5
2016-09-20,3,1
2016-09-21,5,3
2016-09-22,2,2
2016-09-23,5,1
2016-09-24,3,4
2016-09-25,0,0
2016-09-26,5,7
2016-09-27,7,5
2016-09-28,4,2
2016-09-29,8,2
2016-09-30,0,1
2016-10-01,1,5
2016-10-02,1,2
2016-10-03,3,2
2016-10-04,7,7
2016-10-05,13,7
2016-10-06,12,3
2016-10-07,2,1
2016-10-08,1,3
