Date,Mentions,Engagements
2016-03-01,4689,2237
2016-03-02,4305,1797
2016-03-03,4897,2143
2016-03-04,3918,1703
2016-03-05,2303,1524
2016-03-06,1863,4007
2016-03-07,3422,1542
2016-03-08,4885,1974
2016-03-09,5783,2244
2016-03-10,7219,3448
2016-03-11,4817,2558
2016-03-12,2886,1638
2016-03-13,3248,2103
2016-03-14,7123,5145
2016-03-15,8593,3907
2016-03-16,6797,3451
2016-03-17,6896,2614
2016-03-18,5634,2131
2016-03-19,2733,1242
2016-03-20,3314,1222
2016-03-21,4040,1742
2016-03-22,4600,2603
2016-03-23,5245,2393
2016-03-24,4376,2082
2016-03-25,3449,1929
2016-03-26,2879,2395
2016-03-27,2570,1358
2016-03-28,3779,1970
2016-03-29,4618,2606
2016-03-30,5306,2418
2016-03-31,5249,5052
2016-04-01,4370,2388
2016-04-02,2572,1514
2016-04-03,2346,1349
2016-04-04,3591,2238
2016-04-05,5214,2926
2016-04-06,5035,2563
2016-04-07,6194,3106
2016-04-08,5545,2968
2016-04-09,2989,2474
2016-04-10,2390,2373
2016-04-11,3711,2614
2016-04-12,2443,1248
2016-04-13,3262,1759
2016-04-14,3962,2082
2016-04-15,4830,2266
2016-04-16,3826,1844
2016-04-17,2367,1650
2016-04-18,5121,2183
2016-04-19,5834,2457
2016-04-20,6482,3452
2016-04-21,5150,2901
2016-04-22,4684,2462
2016-04-23,2175,1476
2016-04-24,2259,1328
2016-04-25,4163,2054
2016-04-26,4373,2260
2016-04-27,4583,2064
2016-04-28,4534,2013
2016-04-29,4868,1980
2016-04-30,2733,1425
2016-05-01,2126,1381
2016-05-02,3826,1558
2016-05-03,4026,1783
2016-05-04,4224,1865
2016-05-05,5116,2046
2016-05-06,3878,1656
2016-05-07,2115,1230
2016-05-08,2311,1306
2016-05-09,4332,2338
2016-05-10,5551,3336
2016-05-11,3619,2687
2016-05-12,4515,4227
2016-05-13,5004,4477
2016-05-14,3320,4824
2016-05-15,2351,2356
2016-05-16,4175,1865
2016-05-17,7217,3770
2016-05-18,5325,2924
2016-05-19,5769,2901
2016-05-20,4641,2424
2016-05-21,2728,1567
2016-05-22,2253,1505
2016-05-23,6400,2368
2016-05-24,4589,2280
2016-05-25,6184,2724
2016-05-26,4809,2637
2016-05-27,4432,2339
